"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C73","Wpisanie poprawnego hasła w wymaganej formie","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Logowanie i rejestracja","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:12 PM"
"C74","Wymogi hasła podczas logowania użytkownika","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Logowanie i rejestracja","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:13 PM"
"C80","Zablokowanie konta po wpisaniu 3 błędnych haseł","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Logowanie i rejestracja","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:14 PM"
"C86","Rejestracja użytkownika","Adrianna Bereta","6/16/2022 6:22 PM","","","Medium","","Logowanie i rejestracja","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:24 PM"
"C68","Poprawne wyświetlanie aplikacji w zadanej rozdzielczości","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Wyświetlanie","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:12 PM"
"C76","Prawidłowe wyświetlanie listy zadań i przycisków nawigacyjnych","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Wyświetlanie","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:14 PM"
"C77","Oznaczenie kolorystyczne zadania","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Wyświetlanie","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:14 PM"
"C75","Aplikacja napisana w języku polskim","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Wyświetlanie","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:16 PM"
"C69","Tylko jedno zadanie testowe w wersji demonstracyjnej","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:12 PM"
"C70","Sprawdzenie powtórzenia zadania z wersji demonstracyjnej w wersji końcowej","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:12 PM"
"C72","Sprawdzenie ilości dostępnych zadań w części klienckiej aplikacji","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:12 PM"
"C79","Korzystanie z przycisków nawigacyjnych ""Następne"" i ""Poprzednie""","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:14 PM"
"C81","Poprawny czas przełączania pomiędzy zadaniami za pomocą przycisków nawigacji","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:14 PM"
"C84","Losowość zadań wyświetlanych w części klienckiej","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:15 PM"
"C85","Widoczny numer zadania","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:15 PM"
"C67","Członek drużyny nie może zaraportować błędów","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Zadania","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:16 PM"
"C71","Możliwość ręcznego importu oraz eksportu danych","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Inne funkcje","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:16 PM"
"C78","Tworzenie automatycznie kopii zapasowej po kliknięciu w przycisk ""zaraportuj""","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Inne funkcje","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:16 PM"
"C82","Sprawdzenie zużywanej pamięci operacyjnej przez aplikację","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Inne funkcje","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:16 PM"
"C83","Kontynuowanie pracy w aplikacji po utracie połączenia","Adrianna Bereta","6/16/2022 6:10 PM","","","Medium","","Inne funkcje","1","","Master","S4","Other","Adrianna Bereta","6/16/2022 6:16 PM"
